comment,participation,level_of_justification,content_of_justification,respect,counterarguments,constructive_politics,sentiment,fb_comment,live_th,blog_comment
"Listen, you  »re absolutely right, that this relationship is of fundamental importance to me and to Canada. Making sure that we have true reconciliation, true partnership, with indigenous peoples is essential for how we move forward. And we know that the damages have been great over the past decades, generations and centuries, and there is much to do. But because of our actions, over the last year, there are about 2000 kids who started up the school year, in September, in a brand new school, across the country, in indigenous communities. 16 long-terms boil water advisories were ended, with a lot more going to be lifted in the coming years. And we  »re going to reach our target of ending boil water advisories across the country in 5 years. We have made significant strides forward on investing in indigenous education, 2.6 billion dollars.  And these are things that, yes, are not happening as fast as everyone would like. I  »m impatient as well on getting this done. But we also know we have to get it done right. In partnership. We have to build capacity. We have to make sure that we are truly empowering young people. We have to make sure that we are truly listening and giving weight to the elders. And to the young people, who have clear visions of how they want opportunities. You know I  »ve spoken to a number of chiefs who said, yeah we need a youth center. You want to talk to young people, we need a youth center in our community. Okay, well what would you want in that youth center? Well you know, we need TVs and lounges and sofas so they can hang around. And when a Chief says that to me I pretty much know they haven  »t talked to their young people. Because most of the young people I  »ve talked to are asking for a place to store their canoes and paddles so they can connect back out on the land, and a place with Internet access so they can do their homework in a meaningful way, because their homes are often too crowded and they need a place to work and study. We need to make sure we are listening to indigenous voices, because this is not just about throwing money at the problem. Although yes, we  »ve got a lot of investments going, it  »s also about demonstrating real progress on issues that have gone on far too long. And that  »s going to take new ways of approaching these challenges. It  »s going to take learning on both sides. On the government side, and on the indigenous side. As we figure out how to get this right. Because as we said, Canadians are here with us on this. They want - non-indigenous Canadians want to see us repair this relationship and move forward in shared prosperity and opportunity. This is a chance like we  »ve never had before. Where the good will on all sides is there. We have to do it right. This is a tremendous responsibility to yes, give the emergency supports and the mental health crisis supports we need right now for kids that are going through terrible, difficult times, for communities that are suffering and struggling right now. But we also have to be building for the long term. We also have to be preventing the cycles that have been set up because of the lost generations due to residential schools. We have to get this right, we have to do it together, and that means being thoughtful and responsible about how we move together. That  »s what Canadians expect, that  »s what indigenous peoples I  »ve met with expect, that  »s what I expect of our government. We will work together. We will change this, for the better, but it  »s going to take years, it  »s going to take decades in some cases. Before we have reversed centuries of mistreatment. Thank you for your leadership and I look forward to continuing to working with you. You sir.",1,3,3,2,3,2,2,0,1,0
"Well thank you Prime Minister. This evening, I don  »t really have a question for you. I simply wanted to say I  »m really grateful for you coming out here, I have a great deal of respect for you to just come out here and take live questions. I wanted to let you know that myself, my wife, my family, my community, we  »re all praying for you. For you, as you guide this country, for your family, as you still are the leader of that too. So thank you.1",0,1,3,0,0,2,2,0,1,0
"Thank you. I appreciate that very much. I was raised by a father who was very Catholic in the old-school Quebec way, we went to Church just about every Sunday, said my prayers every night as a family, read the bible every Sunday evening, and my faith is an important part of who I am. And knowing that there are folks out there praying for me is really important to me. This isn  »t always the easiest job. But I do know an awful lot of politicians, and every single one I know  truly believes, whether they are religious or not, believes that the calling of service, of trying to do right by your community, trying to build a better future, is one that we constantly have to rededicate ourselves to. And whether it is meeting community members here, or hearing from you today, I thank you for reminding me of the importance of what it is we  »re working on hard together to build a better world and a better future for all of us. Thank you very much. And, which section haven  »t I dealt with? You, yes yes. I think you get the last question of the night, too, because we  »ve been going a while.",1,2,1,2,3,0,2,0,1,0
"Hi, thank you so much Mr. Prime Minister for coming here today. You mentioned at the beginning of your opening that today is Bell Let  »s Talk Day, and mental health issues are very close to me personally and my family, and I  »m sure they  »re close to many of us in the room today. And so my question to you is what can the federal government do further mental health initiatives, not withstanding the fact that health care falls under provincial jurisdiction?",1,1,3,2,3,0,1,0,1,0
"Listen that  »s great question, and first of all, thank you for standing up. You know it shouldn  »t require any courage to stand up and ask a question like that, but I know that unfortunately still, these days it does. There  »s still a stigma around health issues, and too many people don  »t talk about them out loud. And I  »m incredibly proud today that I got to exchange a Tweet with Clara Hughes, who has demonstrated her courage and bravery in sharing her own struggles with mental health issues and sharing and inspiring Canadians to shift their approach. I  »m incredibly proud of my mom, who has been sharing her lifelong struggles with mental health. Which, when you think about it the statistics say one in five Canadians struggle with mental health issues, which means five in five Canadians know someone who struggles with mental health issues. Whether friends, or family, or co11lleagues, workmates. So we need to do a lot more about supporting resilient, supportive communities, addressing the fact that this issue has a massive cost on individuals, on families, on communities, and on jobs and our economy as well. Which is why one of the things that we  »ve done as a federal government is recognize the need for real action on mental health, and we  »ve committed a historic unprecedented 5 billion dollars on mental health specifically. And I  »m very proud to say that Saskatchewan, and Bradwall is one of the seven Premiers that have signed on to this approach in meaningful ways. This is something that we can agree on, that all Canadians know we have to move forward in thoughtful, responsible ways on. And one of the things that we are very interested and indeed excited about  is the fact that research has shown that for most people who have faced mental health challenges, some of their first occurrences, their first symptoms, happen when they are young people. So one of the goals that we have is to try to make sure that young people have much better access to mental health support. Timely, easy, free access to the kinds of support that they need when the go through difficult moments. This is a day when we need to talk about that. This is a day when we need to be understanding of how being strong, compassionate, resilient as a country is essential to our success, and is exactly what we intend to do in the coming years. I thank you all for your questions, it  »s a pleasure to be here, it  »s great to be back in Saskatoon, Thank you for participating in this open Town Hall, thank you for all your questions, I look forward to seeing you all again soon. Merci beaucoup tout le monde.",1,2,3,2,3,0,1,0,1,0
please help Mexico against Donald Trump,1,0,1,1,0,0,1,1,0,0
This prick is destroying Canada. The little potatoe should step down,1,0,1,0,0,0,0,1,0,0
"With such large scale organized crime going on for over half century, humans tortured 24/7, everything else is merely a political show!",1,1,1,1,0,0,0,1,0,0
"This happens in Vancouver and Edmonton. For you and your family's wellbeing and safety, you need know about it, so you don't damage or push each other to disasters when it happens to you or someone around you.",1,1,3,1,2,1,1,1,0,0
Are you helping with a new hidden community based organized high tech crime without acknowledgement?,1,1,1,1,0,0,0,1,0,0
"It's an extreme crime against humanity covered for over half century by now, I'm posting this with the perpetrators in the unit above shooting pulsed electromagnetic beams at me causing severe pain and burns.",1,2,3,1,2,0,0,1,0,0
"Organized Gang/Group stalking is the first stage of this organized crime. It starts from a severe defamation to the victim of 'being dangerous' or 'being mental' by some security professionals and/or medical professionals. The purpose of this stage is to track down all the social connections of the victim and to destroy all, to completely isolate and discredit the victim, to break down the nerves ideally to drive the victim to insane, so that there is no possibility left for the victim to leak any information of what is being done on them by this torture-to-murder program, or even they do nobody will believe them; so that there is no way for the victim to get any help or find any way to make a living. All this is to prepare the victim for further torture and eventually force the victim into suicide or other forms of 'accidental' or sick or sudden death, without getting any attention from anybody or any society, therefore the criminals can get away with legal accusation of first degree murder and extreme crime against humanity.",1,3,1,1,0,0,0,1,0,0
"Electromagnetic weapon torture-to-kill is the second stage of this extreme crime, with the stalking goes on to make sure the crime is done secretly and safely. After certain time of the en masse stalking, the victims are put into an invisible jail walled by hundreds to thousands of stalkers. The victims have completely lost all the contacts, lost freedom, some weaker ones are over stressed and driven insane. The electronic torture and murder starts, along with some bio/poison drugs. The victim is completely turned into a target of electromagnetic weaponry and bio/poison drugs. The perpetuators surround the victim 24/7 wherever he/her goes, equipped inside and around the victim's living quarter with electromagnetic weaponry, shooting the electronic beam from under test ELF (extreme low frequency)/EHF (extreme high frequency)/LASER/MASER microwaves weaponry, which will cause non stop pain in anywhere it hits, cause leukemia, cancer or sudden organ failure over the time. The weaponry they are using on these victims are already classified as Less Lethal in Europe because although it doesn't cause death instantly but will over the time. But in North America, these weapon are kept top classified secret, and in order to make it possible to test, they are called very forgivingly 'non-lethal weapon', which is a big lie.",1,3,1,1,0,0,0,1,0,0
"Starting from a defamation is to fool and maneuver the mass public to get involved in the en masse stalking because to put a 24/7 surveillance onto someone wherever and whenever, they need help from the community and public.",1,1,2,1,0,0,1,1,0,0
"The project is carried on by local and/or foreign security and medical professionals, for example but not limited to, security companies, retired agencies or private firms, who had/has the chance to be exposed to secret classified technologies and now utilizing it to form a long term murder scheme and network for profit, the ill will behind this and the ultimate goal of it have no difference from any other murder except the technologies are unknown and unreachable to the public. All the perpetuators are on a central dispatch system which is done through their cellphones so the hidden faces know every second where the victim is, which direction he/she is heading to, what the victim is doing and with whom, so they can plant their guys and weapons. Some are called sleeping cells. They maybe shopping with wifes or kids in that area before they got orders to watch or follow someone, or get ready their weapon to harm the target.",1,3,3,1,0,0,0,1,0,0
"Many victims are forced to insane or suicide before being able to figure out what's going on to their life. These victims are normal citizens just like you and me, not politically or religiously involved in any thing. And once one is flagged as a target of this kind of group stalking, there is no end of it until the victim is cornered or tortured to death.",1,3,3,1,0,0,0,1,0,0
Fooling and maneuvering common mass citizens into this stalking crime is the dirtiest part. ,1,0,1,1,0,0,0,1,0,0
"Shame on Vancouver, Edmonton and Canadian government",1,0,1,0,0,0,0,1,0,0
How can you be online and not be informed?  Get reading and ask the right questions!,1,0,1,0,0,0,0,1,0,0
Please put a stop to dapl.. if trump won't then you have to make a stand for the international community,1,0,1,1,0,0,0,1,0,0
Trump shut down the Climate Change Department!,1,0,1,1,0,0,0,1,0,0
"I thought you were cool, but you're just another dickhead. Why are you authorising Canada's role in the Dakota pipeline?",1,1,1,0,0,0,0,1,0,0
What an idiot!,1,0,1,0,0,0,0,1,0,0
Work together with Trump?How can anyone work with a Sociopath,1,0,1,0,0,0,0,1,0,0
What a waste of time and money! Ask a REAL question!,0,0,1,0,0,0,0,1,0,0
"Thank you, Mr. greetings from Algeria to the people of Canada",1,0,1,2,0,0,2,1,0,0
Do this Idiot ever answer a question?,0,0,1,0,0,0,0,1,0,0
We are already out of work you idiot.,1,0,1,0,0,0,0,1,0,0
Carbon tax .....idiot,1,0,1,0,0,0,0,1,0,0
Your an idiot Trudeau,1,0,1,0,0,0,0,1,0,0
You suck TURDEAU. QUIT WASTING TAX PAYERS MONEY WITH YOUR SCRIPTED QUESTIONS,0,0,1,0,0,0,0,1,0,0
wow you suck justin.,1,0,1,0,0,0,0,1,0,0
Supportig to TRump over pipeline?? DISGUSTING ..YOU should be ASHAMED!!!,1,0,1,0,1,0,0,1,0,0
"On l'as-tu l'Ostie de clown de Premier Ministre, quel Bouffon !!!!",1,0,1,0,0,0,0,1,0,0
"you promised me that you'd come back to me, and you did not. I still want my question. -_--",1,0,1,0,0,0,0,1,0,0
He is an idiot,1,0,1,0,0,0,0,1,0,0
I can't believe the stupid hateful comments from his critics..,1,0,1,0,1,0,0,1,0,0
Dont meet with Trump ever please. Shut him down.,1,0,1,1,0,0,0,1,0,0
Get out of Canada Justin you suck!!,0,0,1,0,0,0,0,1,0,0
"PLEASE REFRAIN FROM MEETING WITH TRUMP AS A SIGN OF TRUE CANADIAN VALUES AND SOLIDARITY , PLEASE SEND A MESSAGE",1,0,1,1,1,0,1,1,0,0
They give the tickets out to liberal supporters they do not want difficult questions,1,0,1,0,0,0,0,1,0,0
"Pris dans un cercle vicieux, meme si ta des problíÂmes de santí© mentale pas capable $$ de prendre du temps off, chíÇmage de maladie trop bas pour payer les dí©penses íæ la maison pour faire vivre les enfants d'une personne monoparentale:(( Donc obligí© de continuer íæ travailler bourrí©e de pilules pour ink se tenir debout :(",1,2,0,1,0,0,0,1,0,0
Justin I got a question  for you please  look for me on Facebook  Derek Trudeau and add me thanks,1,0,1,2,0,0,2,1,0,0
Freaking moron!!!!!,1,0,1,0,0,0,0,1,0,0
Lol Trudeau is an idiot,1,0,1,0,0,0,0,1,0,0
These nights are the point getters close to home regenerate idea's motivate council new cabinet capibilities direct new possibilities towards preparness anticipaite recognize strengths together arrive timely decision on pursuing projections informing educating provide the answer's correctly .,1,1,1,1,0,0,1,1,0,0
You suck justin!!!,0,0,1,0,0,0,0,1,0,0
Est-ce vraiment au Quí©bec? Oí_ sont les francophones?,1,0,1,1,0,0,0,1,0,0
"Mr. Trudeau, will you answer a question asked in French from a Francophone in English because you are in Manitoba""?""",1,0,1,0,0,0,0,1,0,0
toi en estrie nous en ostie ....hien! pis ca fait quoi etre le larbin de Soros ...ton boss yí© dans la mire de trump...et ca fait quoi etre sous enquete de la ví©rificatrice pour conflit d'interet ...moi ca serait pour trahison .....EN PRISON LE TRAITRE!,0,0,1,0,0,0,0,1,0,0
"Question was asked in English, should have been answered in English. Very disappointing.",1,0,1,1,0,0,0,1,0,0
So disappointed in you. Speaking English in Sherbrooke is not a crime. The lady asked you a question about English minority language services and you totally disregarded her. Your dad would not be impressed. Bonehead move.,1,1,0,0,0,0,0,1,0,0
I'm getting sic people suck and Bravo monsoire,0,0,1,0,0,0,0,1,0,0
If the person asks you a question in English you answer in English.  Totally disrespectful and rude.,0,0,1,0,0,0,0,1,0,0
HOW THE F#@K IS HE THE BEST PM. EVER? YOU PPL ARE DELUSIONAL GTFOH,0,0,1,0,0,0,0,1,0,0
" NOW we must deal with this Justin TRUDEAU IDIOT!!!!! Like Father -Like Son""",0,0,1,0,0,0,0,1,0,0
Thats lack of respect to the person who asked the question in english,1,0,1,0,0,0,0,1,0,0
"When the question is asked in English, an english response is expected.  This was not cool.",1,0,1,1,0,0,0,1,0,0
va chier trouduk,0,0,1,0,0,0,0,1,0,0
"You are an idiot, you just lost the anglo vote, at least mine!",0,0,1,0,0,0,0,1,0,0
J'í©coute en diffí©rí©.... rí©ponses vides aux questions.... langue de bois... je suis extríÈmement dí©cu !,1,0,1,0,0,0,0,1,0,0
Eeeeeeee aaaaaaa uuuuuu criss qui bí©gaye,0,0,1,0,0,0,0,1,0,0
"I just feel that all the talk never gets to the root of anything that evolves into future repricussions, pay all students, I just see no other way for equality and progress",1,1,1,1,0,0,0,1,0,0
"Do you think you could start paying school children to do well in school? There are a lot of standards and expectations the students are required to achieve, and that sounds like a lot of work without pay and lunch",1,2,0,1,0,0,1,1,0,0
Innovation in the investments space is being curbed by punitive tax treatments on equity linked notes in Federal Budget 2016. Can that be given another thought as it significantly affects young investors saving up for the future,1,2,2,1,1,1,1,1,0,0
"All funding should be accountable, I've seen people get pedicures with money meant for other purposes",1,1,2,1,0,0,1,1,0,0
Money does matter and students need to get paid and save for their college/University years and to learn money management,1,1,1,1,0,0,1,1,0,0
I would like to know why it is when I turn 65 my canada pension disability is stopped and I am given regular pension.?? I am still disabled after 65 and have the same needs and costs for my disability. Where will I find that extra two or three hundred a month?,1,1,0,1,0,0,0,1,0,0
Student loan should be paid back...to ensure next students can benefit same for education. That is only fair!,1,1,1,1,0,0,1,1,0,0
"No student after working hard for years should be endebted to school facilities, they need a hope for their futures",1,1,1,1,0,0,1,1,0,0
Mr Morneau croyez vous que vous allez baisser les taxes et ne pas prí©voir de hausse d impíÇt pour la prochaine anní©e,1,0,1,1,0,0,0,1,0,0
I think university students are accountable in the end. They are in debt.,1,1,1,1,0,0,1,1,0,0
They do pay taxes. ,1,0,1,1,0,0,1,1,0,0
"If they use their new acquired education and skills they wirk and pay taxes, contribute to the economy",1,1,1,1,0,0,1,1,0,0
"Bill, for a young, educated immigrant such as myself, who is looking at saving for the future, Federal Budget 2016 was quite punitive as it took away an investment tool that helped me invest for the future by taking on a limited amount of risk - equity linked notes. I  really hope you are able to give this issue another thought as it negatively impacts my future plans and I'm sure plans of several others",1,0,3,1,2,2,1,1,0,0
Is the government considering student loan forgiveness?,1,0,1,1,0,0,1,1,0,0
Les classes íæ faible revenu vous avez prí©vu quoi ??,1,0,1,1,0,0,1,1,0,0
We have to start manufacturing in Canada and quit selling our resources ....sell the finished product !,1,0,1,1,0,0,1,1,0,0
Speak English everyone in Canada can speak English but not every Canadian speaks French!!!!!,1,1,2,1,0,0,0,1,0,0
More funding for university students.,1,0,1,1,0,0,1,1,0,0
BILL MORNEAU I LOVE YOU DADDY,1,0,1,2,0,0,2,1,0,0
Equity linked notes are innovation in the investments space that young investors such as myself who are saving up for the future invest in. The new income treatment on equity linked notes needs to be revisited,1,2,2,1,0,0,1,1,0,0
What happened to the student tax credits? Education is not important to the liberals?,1,0,1,1,0,0,0,1,0,0
What the hell is this ffs!!!,1,0,1,0,0,0,0,1,0,0
Investment in clean technology.  Training for displace oil sector workers and for job peopke entering tge job market.,1,1,2,1,0,1,1,1,0,0
I would like to answer your question Bill Morneau posed to an audience member in response to her concerns for the not-for-profit sector about how the government can further help.,1,0,1,1,0,0,1,1,0,0
"Since increased regulation of the not-for-profit sector in the mid-90s, government grants have been largely project based - which is also common of grants given by the private sector. Additionally, we know it is easier to get donations from private individuals for tangible items or projects. In essence, if you have a short-term, definable project - you can get it funded by the public sector, the private sector or by individual philanthropists. But nobody wants to fund operational costs. Nobody will turn on your lights or pay non-contractual salaries. And what further compounds this problem is not only can you only fund short-term projects, they very often have to be brand new projects you have never tried before. If you've done a project before, they're somehow now considered part of your regular operations. This is a terrible model that causes not-for-profits to go back to the drawing table, year over year, to dream up new short-term projects because last year's perfectly viable program is un-fundable. The turnover rate of projects caused by this model necessitates extra staff time to a) dream up new projects, b) write brand new grant applications, c) train staff on the new project, d) work out the kinks of the new project. We know regulation of the not-for-profit sector is not going away, but they do deserve more recognition - by way of operational funds. Operational funds would additionally reduce staff turnover rates, making the not-for-profit sector more effective.Not-for-profits across Canada play essential roles in our communities and as our society as a whole. It's time for the government to reconsider how the not-for-profit sector is treated. Consider the possibility of matching funds - for every dollar given to a not-for-profit by the private sector or philanthropist for a short-term project, the government should donate a dollar towards operational funds or long-term projects.",1,3,3,1,1,1,1,1,0,0
Why it took me 20 years to pay off my student loans !!!  Why are you special ?,1,1,0,1,0,0,0,1,0,0
That was age discrimination comment !  Wow,1,0,1,0,0,0,0,1,0,0
"I'm glad I was prompted to watch this feed instead of listening to the Trump rally, I couldn't stand his screeching voice any longer lol",1,0,1,2,0,0,2,1,0,0
Dí©solí© mais vous auriez pu prendre  plus de questions sur facebook car il y a de tríÂs bonnes questions aussi,1,1,1,1,0,0,1,1,0,0
Would've been the greatest president in US history,1,0,1,2,0,0,2,1,0,0
If you look at anything you WILL find something wrong especially when you'd prolly have a heart attack if you don't..smh..,1,0,1,0,0,0,0,1,0,0
Keep speaking our voice through your voice,1,0,1,2,0,0,2,1,0,0
Socialism is not a good thing.   People stop working when they have what they've worked for taken away from them and given to those that don't work.,1,1,1,1,0,0,1,1,0,0
You have no reasonable way to pay for all the freebies that you wanted to give.,1,0,1,1,0,0,0,1,0,0
We have more ppl In jail because we have a justice system idiot. You can kill ppl in other countries and not go to jail,1,1,1,0,0,0,0,1,0,0
"Good night, Uncle Bernie!",1,0,1,2,0,0,2,1,0,0
When is the DNC ever going to admit that this is their fault??,1,0,1,1,0,0,0,1,0,0
"Hi everyone, My name is Andr_ Brisebois and I work at LPC's National Office. My job is to support members' work in the policy development process. This new page is designed to help Liberals discuss the Constitutional amendments above prior to the June 18 extraordinary convention. I'm here to answer your questions and ensure a smooth process. With that said, let's get the discussion going! The floor is yours ",1,0,1,2,2,2,1,0,0,0
HI I fully support delaying the Leadership Convention as stated. I believe that Bob Rae and the party Directors need more time to rebuild the party in an effort to make it more in tune with the needs of the electorate. I am unable to attend the June 18th event as a delegate. but those are my thoughts. Aline Revoy,1,2,2,2,2,0,2,0,0,0
"Does anyone have an idea of what would happen if the amendments to the constitution are not passed? What would be the political and financial impact of not approving them? I'm not necessarily opposed to the amendments, but just want full disclosure as to what would happen to the party if they didn't pass. Thanks!",1,1,0,1,2,0,1,0,0,0
I also agree with postponing the Biennial Convention and leadership vote until at least the dates specified in the ammendment. I'm sure all our members agree that our party needs to evaluate our future policies and determine the needs of Canadians after the Conservatives and NDP get thier first couple of years in power. I wouldn't want the party making rash decisions until the dust settles. Just look south of the border to see how peoples values change in a short period of time. Our party always stood up for Canadians so I think we just need a liitle time to sort out things. I am unable to attend on June 18 but would support the ammendment posted in this website.,1,2,2,1,2,0,2,0,0,0
"@F.Andrews: good question! Re: the 1st amendment, if it doesn t pass it means that we will follow the Constitution as it stands and will immediately be in a Leadership race leading up to October 2011, at which time there will be a Leadership Vote (One member, One vote). Furthermore, Leadership races do not have much incentive for Party unity since candidates are battling each other for the top position. As for the financial side, leadership races require much fundraising by the candidates which could possibly be in conflict with the Party s fundraising efforts. I could go on but I think you get the picture. Re: the 2nd amendment, it means that the Party may have to organize a Leadership Vote for October 2011 and a biennial convention for late Fall 2011. While possible, it will be a considerable amount of work in a short period of time. Furthermore, delaying until the new year would mean a new tax year which could be an incentive for the members and donors that have already reached their maximum contribution to the Party.",1,3,1,2,2,0,2,0,0,0
"A Leadership Vote on October 29 2011 is to soon October 2012 is to soon . We have to give Harper and Layton time they will do our work for us, by 2013 , we will have a good idear what kind of leader is needed , time is our friend , rush and we could be 3rd for a long time. George Smith",1,2,0,1,0,0,1,0,0,0
"Hello, I fully support the proposed amendments. I believe the time frames laid out make sense. The Party needs time to regroup and refocus before choosing the right person to lead us in the next elections.",1,2,0,1,0,0,2,0,0,0
"Hi, I think we all need to hear what the Leadership has to say before deciding anything. My instinct is to go with the need for more time, but there must have originally been a good reason for setting the time-line the way it is. I d like to know what we lose by not holding the convention at the normal time. Regards to all from London West. Welwyn Wilton Katz",1,0,1,1,2,2,1,0,0,0
"Hi Welwyn, I ll attempt to answer your question  if by Leadership you mean the Leader of the Party, Bob Rae, I cannot speak for him but he has stated that he wants the position to be more than a  summer job  and members seem to agree that rebuilding the Party will take a certain amount of time. The original reason for setting the current timeline goes back to the Chr_tien-Martin days when Jean Chr_tien announced his  eventual  resignation but took a good amount of time to actually do so. Hence the rule that the Leadership Vote must be held within 5 months after the Leader s announcement of or actual resignation (Constitution 54(2) & (3)(b)). On another note, we must not confuse the term convention  Since now we have one member, one vote for the  Leadership Vote , a convention refers strictly to the biennial convention or an extraordinary convention. As I mentioned earlier, delaying the biennial convention until January will provide us with more time to organize and may provide an incentive to members and donors that have maxed out their contributions to the Party since 2012 will be a new tax year. Finally, if by  Leadership  you mean the National Board of Directors, these resolutions have been proposed by the NBoD following consultations with members and extensive member input (emails, facebook, etc.).",1,3,0,1,2,0,1,0,0,0
"I agree wholly with the comments posted above. I would add that a Leadership Process is necessarily divisive, and the one thing we DO NOT need at this point is disunity. We have had two leaders recently, within a relatively short time, and neither of them had a fair chance to prove themselves or to become known to the electorate outside the party, before an election call. Let us learn from past experience, so that we can give ourselves time to heal, and time to choose a leader who can lead us without the pressure of an impending election campaign. Let s look upon the coming four years as an opportunity and not a disaster. Long Live the Liberal Party of Canada!",1,2,2,2,3,0,2,0,0,1
"I have a couple of general questions. First, there were some serious dirty tricks during the election campaign   fake calls purportedly from Liberal candidates, and later fake ones purportedly from Elections Canada. Does the party have a team in place to make sure that these are fully investigated and prosecuted? I know it can t be our main focus, but we MUST ensure everyone knows that this sort of behaviour has consequences. Second, it s clear that the NDP has, from a policy perspective, merged with the Bloc Quebecois. How can we exploit this to pry the centre-left of the entire rest of the country away from them? Finally, how do we stop the media from using the word  subsidy  to describe the public funding system, and refocus the conversation on  Harper changing the election rules in his own benefit ?",1,3,0,1,0,1,1,0,0,1
"I think it is a good decision if we collectively decide to amend the constitution to enable much more time for the choosing of a leader.I will miss this teleconference as i work that day.It will be very good to see more of us LPC members and supporters become actively involved now to help with the rebuilding process.We can come back stronger than ever and deliver a centerist approach that will again enable the quality of canadian society to reach higher levels,and be that positive truly helpful nation to the world at large.",1,1,2,2,0,0,2,0,0,1
"Hi Phil, 1. Re: dirty tricks and fake calls  Elections Canada is currently investigating this. It s in their hands so that s as much as we know about it for now. 2. This sounds like a good question for liberal members interested in policy! I will leave the many possible answers in members  hands since this will surely come back as we will be rebuilding. 3. We cannot control the media nor the spin they put on their stories. All political parties have to deal with this reality. However, I am inclined to suggest that you write a letter to some papers outlining your point of view.",1,1,1,1,3,2,1,0,0,1
"Good morning, I am unable to participate in the extraordinary convention on June 18, however, I feel very strongly that the election of a new leader should be delayed. The Party needs to be more than a leader, and I fear that the fundamentals that built the party into Canada s Party for so many years have been buried. We need to rebuild that foundation, we need to rebuild membership, we need to rebuild the faith in the LPC that Canadians once shared before identifying a leader. We have an excellent Interim Leader, so I see no rush.",1,1,0,2,0,0,1,0,0,1
"Lack of leadership is what got us into this mess. Wandering the political wilderness for two years because our last few leadership choices went poorly is not the way to go. We need to look outside our current stable of MPs and find someone who will rebuild the party in their image _ Bob Rae is a great guy, but he should not be the acclaimed party leader for two years. We need to have a serious discussion about the ideas we stand for, because I can tell you what the Conservatives and the NDP stand for, but not our party. We need to find someone (and quickly) who embodies these ideas and elect them leader. This shouldn t be about how much money they can raise or we ll end up with another  pretty face  who says all the right buzz words but lacks real vision. If you want to merge with the NDP, having the former NDP Premier of Ontario as our leader for an extended period of time is probably the best bet to making that happen. I d support such a merger, but for now it seems that most of the party membership would prefer to remain a separate party. In order to remain separate and avoid oblivion, we need to find out what we stand for.",1,3,0,1,1,0,1,0,0,1
Hello: My name is Les Gabitous. Unfortunately I will be unable to participate in the extraordinary convention but I support the delay in the leadership election. I would not be upset if it did not take place until the spring of 2013. We need time to rebuild. One of the things we do need to do is become a party where all of our elected members become relevant and not be totally ruled by the Leader and his office. We need to become the party of the people. All members should be heard and not penalized if they do not suport certain platforms put forward by the Leader. Let the Liberals become the party of freedom and representatives of their constituents.,1,2,2,2,0,0,1,0,0,1
"Phil, Just to follow-up on your 1st question as this is a very serious matter, I ve also forwarded your question and comments to info@liberal.ca so that my colleagues are aware of your concern. Rest assure that we are just as concerned as you are and share your feelings.",1,0,1,2,3,2,1,0,0,1
"I fully support the National Board and Council of Presidents in proposing these amendments. As a party we need the time that this solution will give us to allow members, at the January Convention, to set the policy framework for the leadership debate that will follow. It is equally important that party members from all constituencies and commissions participate on June 18th.in order to ensure the legitimacy of the decision and start the rebuilding process. Hopefully the removal of the fear of an immediate election will allow us to have the kind of lively debate that we need to get ourselves back to the point where we are considered to be a serious alternative for electors.",1,3,3,1,3,0,2,0,0,1
"I have read and support the ammendments to the constitution. I cannot participate as a delegate but want to have you count in my oppinion. We need time to re-think, re-align and relate to our grassroots. In my opinion this is one of our failures in recent years. There has been a lack of grassroots involvement in many aspects of the Party and its policies in recent years. The grassroots and Riding activity is how you build and mainatain a Party.",1,1,0,1,2,0,1,0,0,1
"Yes, I also agree the leadership convention should be postponed to give the Party ample time to regroup and rethink its policies. I am definitely not in favor of looking outside the party for a Leader. A case in point is what happened when we did _ ergo Michael Ignatieff. We have plenty of good men and women in the party, bright and capable but if we do look outside the party we should ensure that the person has political experience _ ergo Michael Igantieff. It is not necessary to merge with the NDP and why should we? Are the policies of the NDP policies those that we espouse? There is a huge vacuum that the Liberals can fill so lets be creative and find our own middle ground. We never had difficulty filling that void before this.We will find our own way, we will find issues that are dear to Canadians that are not being fulfilled. Lets keep in mind that 60% of Canadians did not vote for Stephen Harper, no matter what he says (delusional as he is) Within a very short time, Harper and Layton will give us ample issues to oppose. Theres no rush. The Conservatives/Reformers under the present leadership will soon step into another landmine _ and we must be ready to tackle these issues one at a time. And once we tackle them we must not let them drop as we did with the issue of the torture of Afghan detainees. Bob Rae will be a formidable interim leader. He has both the political experience and mental agility to deal with the dullards on the government side. Above all, lets remain united because we have not always been united. Lets think back not too long ago. The canabalization of Stephan Dion, by his own party was as disgraceful as Ive ever seen. This was a good and honest man and what was done to him by the press and the Harperites was bad enough _ but what was done to him by the Party itself was a shame that we will have to live with for a long time. I know of another Liberal who bastardized English and who went on to become one of the most successful leaders of our time. We all remember Jean Chretien. Lets forge ahead, think logically and creatively as well and we will once again rise to become the party that speams for the majority of Canadians. Liberals, the task begins NOW!!",1,3,0,1,1,0,1,0,0,1
Remember everyone to keep your comments to the 2 resolutions above. There will be other opportunities for discussions on rebuilding and renewing our Party. The process we follow is just as important as its outcomes. We have time on our side so let s do this together one step at a time.,1,0,0,1,0,2,1,0,0,1
