"","matrix.0.","state","district","title","enddate","party","birthday","firstname","middlename","lastname","sortname","gender","twitterid"
"166","WA-5","WA",5,"Rep.","2017-01-03","Republican","1969-05-22","Cathy","","McMorris Rodgers","McMorris Rodgers, Cathy (Rep.) [R-WA5]","female","CathyMcMorris"
"167","WA-8","WA",8,"Rep.","2017-01-03","Republican","1950-08-29","David","G.","Reichert","Reichert, David (Rep.) [R-WA8]","male","DaveReichert"
"168","WI-4","WI",4,"Rep.","2017-01-03","Democrat","1951-04-18","Gwen","","Moore","Moore, Gwen (Rep.) [D-WI4]","female","RepGwenMoore"
"169","CA-6","CA",6,"Rep.","2017-01-03","Democrat","1944-09-25","Doris","O.","Matsui","Matsui, Doris (Rep.) [D-CA6]","female","DorisMatsui"
"170","MN-8","MN",8,"Rep.","2017-01-03","Democrat","1943-12-17","Richard","M.","Nolan","Nolan, Richard (Rep.) [D-MN8]","male","USRepRickNolan"
"171","PA-9","PA",9,"Rep.","2017-01-03","Republican","1961-01-10","Bill","","Shuster","Shuster, Bill (Rep.) [R-PA9]","male","RepBillShuster"
"172","NJ-8","NJ",8,"Rep.","2017-01-03","Democrat","1951-01-26","Albio","","Sires","Sires, Albio (Rep.) [D-NJ8]","male","Rep_Albio_Sires"
"173","CA-9","CA",9,"Rep.","2017-01-03","Democrat","1951-06-18","Jerry","","McNerney","McNerney, Jerry (Rep.) [D-CA9]","male","RepMcNerney"
"174","CA-23","CA",23,"Rep.","2017-01-03","Republican","1965-01-26","Kevin","","McCarthy","McCarthy, Kevin (Rep.) [R-CA23]","male","GOPLeader"
"175","CO-5","CO",5,"Rep.","2017-01-03","Republican","1954-05-24","Doug","","Lamborn","Lamborn, Doug (Rep.) [R-CO5]","male","RepDLamborn"
"176","CO-7","CO",7,"Rep.","2017-01-03","Democrat","1953-05-01","Ed","","Perlmutter","Perlmutter, Ed (Rep.) [D-CO7]","male","RepPerlmutter"
"177","CT-2","CT",2,"Rep.","2017-01-03","Democrat","1953-04-06","Joe","","Courtney","Courtney, Joe (Rep.) [D-CT2]","male","RepJoeCourtney"
"178","FL-14","FL",14,"Rep.","2017-01-03","Democrat","1966-08-20","Kathy","","Castor","Castor, Kathy (Rep.) [D-FL14]","female","USRepKCastor"
"179","FL-16","FL",16,"Rep.","2017-01-03","Republican","1951-05-08","Vern","","Buchanan","Buchanan, Vern (Rep.) [R-FL16]","male","VernBuchanan"
"180","GA-4","GA",4,"Rep.","2017-01-03","Democrat","1954-10-02","Henry","C.","Johnson","Johnson, Henry “Hank” (Rep.) [D-GA4]","male","RepHankJohnson"
"181","IL-6","IL",6,"Rep.","2017-01-03","Republican","1961-09-13","Peter","J.","Roskam","Roskam, Peter (Rep.) [R-IL6]","male","PeterRoskam"
"182","IA-2","IA",2,"Rep.","2017-01-03","Democrat","1952-12-23","David","","Loebsack","Loebsack, David (Rep.) [D-IA2]","male","DaveLoebsack"
"183","KY-3","KY",3,"Rep.","2017-01-03","Democrat","1947-11-04","John","A.","Yarmuth","Yarmuth, John (Rep.) [D-KY3]","male","RepJohnYarmuth"
"184","MD-3","MD",3,"Rep.","2017-01-03","Democrat","1962-05-22","John","P.","Sarbanes","Sarbanes, John (Rep.) [D-MD3]","male","RepSarbanes"
"185","MI-7","MI",7,"Rep.","2017-01-03","Republican","1951-04-12","Tim","","Walberg","Walberg, Tim (Rep.) [R-MI7]","male","RepWalberg"
"186","MN-1","MN",1,"Rep.","2017-01-03","Democrat","1964-04-06","Timothy","James","Walz","Walz, Timothy (Rep.) [D-MN1]","male","RepTimWalz"
"187","MN-5","MN",5,"Rep.","2017-01-03","Democrat","1963-08-04","Keith","Maurice","Ellison","Ellison, Keith (Rep.) [D-MN5]","male","KeithEllison"
"188","NE-3","NE",3,"Rep.","2017-01-03","Republican","1970-12-19","Adrian","","Smith","Smith, Adrian (Rep.) [R-NE3]","male","RepAdrianSmith"
"189","NY-9","NY",9,"Rep.","2017-01-03","Democrat","1964-11-21","Yvette","D.","Clarke","Clarke, Yvette (Rep.) [D-NY9]","female","YvetteClarke"
"190","OH-4","OH",4,"Rep.","2017-01-03","Republican","1964-02-17","Jim","","Jordan","Jordan, Jim (Rep.) [R-OH4]","male","Jim_Jordan"
"191","TN-9","TN",9,"Rep.","2017-01-03","Democrat","1949-05-24","Steve","","Cohen","Cohen, Steve (Rep.) [D-TN9]","male","RepCohen"
"192","VT-0","VT",0,"Rep.","2017-01-03","Democrat","1947-05-02","Peter","","Welch","Welch, Peter (Rep.) [D-VT0]","male","PeterWelch"
"193","FL-12","FL",12,"Rep.","2017-01-03","Republican","1963-02-08","Gus","M.","Bilirakis","Bilirakis, Gus (Rep.) [R-FL12]","male","RepGusBilirakis"
"194","MA-3","MA",3,"Rep.","2017-01-03","Democrat","1946-04-26","Niki","S.","Tsongas","Tsongas, Niki (Rep.) [D-MA3]","female","NikiInTheHouse"
"195","VA-1","VA",1,"Rep.","2017-01-03","Republican","1959-02-03","Robert","J.","Wittman","Wittman, Robert (Rep.) [R-VA1]","male","RobWittman"
"196","OH-5","OH",5,"Rep.","2017-01-03","Republican","1956-04-18","Robert","E.","Latta","Latta, Robert (Rep.) [R-OH5]","male","BobLatta"
"197","IL-11","IL",11,"Rep.","2017-01-03","Democrat","1955-10-07","Bill","","Foster","Foster, Bill (Rep.) [D-IL11]","male","RepBillFoster"
"198","IN-7","IN",7,"Rep.","2017-01-03","Democrat","1974-10-16","André","","Carson","Carson, André (Rep.) [D-IN7]","male","RepAndreCarson"
"199","CA-14","CA",14,"Rep.","2017-01-03","Democrat","1950-05-14","Jackie","","Speier","Speier, Jackie (Rep.) [D-CA14]","female","RepSpeier"
"200","LA-1","LA",1,"Rep.","2017-01-03","Republican","1965-10-06","Steve","Joseph","Scalise","Scalise, Steve (Rep.) [R-LA1]","male","SteveScalise"
"201","MD-4","MD",4,"Rep.","2017-01-03","Democrat","1958-06-28","Donna","F.","Edwards","Edwards, Donna (Rep.) [D-MD4]","female","RepDonnaEdwards"
"202","UT-3","UT",3,"Rep.","2017-01-03","Republican","1967-03-26","Jason","","Chaffetz","Chaffetz, Jason (Rep.) [R-UT3]","male","JasonInTheHouse"
"203","CO-6","CO",6,"Rep.","2017-01-03","Republican","1955-03-19","Mike","","Coffman","Coffman, Mike (Rep.) [R-CO6]","male","RepMikeCoffman"
"204","VA-11","VA",11,"Rep.","2017-01-03","Democrat","1950-03-30","Gerald","E.","Connolly","Connolly, Gerald (Rep.) [D-VA11]","male","GerryConnolly"
"205","LA-4","LA",4,"Rep.","2017-01-03","Republican","1951-07-05","John","","Fleming","Fleming, John (Rep.) [R-LA4]","male","RepFleming"
"206","FL-9","FL",9,"Rep.","2017-01-03","Democrat","1958-03-13","Alan","","Grayson","Grayson, Alan (Rep.) [D-FL9]","male",NA
"207","KY-2","KY",2,"Rep.","2017-01-03","Republican","1964-02-18","Brett","","Guthrie","Guthrie, Brett (Rep.) [R-KY2]","male","RepGuthrie"
"208","MS-3","MS",3,"Rep.","2017-01-03","Republican","1956-06-01","Gregg","","Harper","Harper, Gregg (Rep.) [R-MS3]","male","GreggHarper"
"209","CT-4","CT",4,"Rep.","2017-01-03","Democrat","1966-07-05","James","A.","Himes","Himes, James (Rep.) [D-CT4]","male","JAHimes"
"210","CA-50","CA",50,"Rep.","2017-01-03","Republican","1976-12-07","Duncan","D.","Hunter","Hunter, Duncan (Rep.) [R-CA50]","male","Rep_Hunter"
"211","KS-2","KS",2,"Rep.","2017-01-03","Republican","1963-06-10","Lynn","","Jenkins","Jenkins, Lynn (Rep.) [R-KS2]","female","RepLynnJenkins"
"212","AZ-1","AZ",1,"Rep.","2017-01-03","Democrat","1950-03-24","Ann","","Kirkpatrick","Kirkpatrick, Ann (Rep.) [D-AZ1]","female","RepKirkpatrick"
"213","NJ-7","NJ",7,"Rep.","2017-01-03","Republican","1952-06-25","Leonard","","Lance","Lance, Leonard (Rep.) [R-NJ7]","male","RepLanceNJ7"
"214","MO-3","MO",3,"Rep.","2017-01-03","Republican","1952-05-07","Blaine","","Luetkemeyer","Luetkemeyer, Blaine (Rep.) [R-MO3]","male","RepBlainePress"
"215","NM-3","NM",3,"Rep.","2017-01-03","Democrat","1972-06-07","Ben","Ray","Luján","Luján, Ben (Rep.) [D-NM3]","male","RepBenRayLujan"
"216","WY-0","WY",0,"Rep.","2017-01-03","Republican","1954-09-10","Cynthia","M.","Lummis","Lummis, Cynthia (Rep.) [R-WY0]","female","CynthiaLummis"
"217","CA-4","CA",4,"Rep.","2017-01-03","Republican","1956-07-10","Tom","","McClintock","McClintock, Tom (Rep.) [R-CA4]","male","RepMcClintock"
"218","TX-22","TX",22,"Rep.","2017-01-03","Republican","1962-12-09","Pete","","Olson","Olson, Pete (Rep.) [R-TX22]","male","OlsonPressShop"
"219","MN-3","MN",3,"Rep.","2017-01-03","Republican","1965-05-14","Erik","","Paulsen","Paulsen, Erik (Rep.) [R-MN3]","male","RepErikPaulsen"
"220","ME-1","ME",1,"Rep.","2017-01-03","Democrat","1955-04-02","Chellie","","Pingree","Pingree, Chellie (Rep.) [D-ME1]","female","ChelliePingree"
"221","CO-2","CO",2,"Rep.","2017-01-03","Democrat","1975-05-12","Jared","","Polis","Polis, Jared (Rep.) [D-CO2]","male","JaredPolis"
"222","FL-8","FL",8,"Rep.","2017-01-03","Republican","1947-12-18","Bill","","Posey","Posey, Bill (Rep.) [R-FL8]","male","CongBillPosey"
"223","TN-1","TN",1,"Rep.","2017-01-03","Republican","1945-07-21","David","P.","Roe","Roe, David “Phil” (Rep.) [R-TN1]","male","DrPhilRoe"
"224","FL-17","FL",17,"Rep.","2017-01-03","Republican","1970-11-21","Thomas","J.","Rooney","Rooney, Thomas (Rep.) [R-FL17]","male","TomRooney"
"225","MP-0","MP",0,"Rep.","2017-01-03","Independent","1955-01-19","Gregorio","Kilili Camacho","Sablan","Sablan, Gregorio (Rep.) [I-MP0]","male",NA
"226","OR-5","OR",5,"Rep.","2017-01-03","Democrat","1951-10-19","Kurt","","Schrader","Schrader, Kurt (Rep.) [D-OR5]","male","RepSchrader"
"227","PA-5","PA",5,"Rep.","2017-01-03","Republican","1959-07-27","Glenn","","Thompson","Thompson, Glenn (Rep.) [R-PA5]","male","CongressmanGT"
"228","NV-1","NV",1,"Rep.","2017-01-03","Democrat","1950-05-23","Dina","","Titus","Titus, Dina (Rep.) [D-NV1]","female","RepDinaTitus"
"229","NY-20","NY",20,"Rep.","2017-01-03","Democrat","1949-06-18","Paul","","Tonko","Tonko, Paul (Rep.) [D-NY20]","male","RepPaulTonko"
"230","OH-11","OH",11,"Rep.","2017-01-03","Democrat","1952-10-29","Marcia","L.","Fudge","Fudge, Marcia (Rep.) [D-OH11]","female","RepMarciaFudge"
"231","IL-5","IL",5,"Rep.","2017-01-03","Democrat","1958-10-17","Mike","","Quigley","Quigley, Mike (Rep.) [D-IL5]","male","RepMikeQuigley"
"232","CA-27","CA",27,"Rep.","2017-01-03","Democrat","1953-07-07","Judy","M.","Chu","Chu, Judy (Rep.) [D-CA27]","female","RepJudyChu"
"233","CA-3","CA",3,"Rep.","2017-01-03","Democrat","1945-01-24","John","","Garamendi","Garamendi, John (Rep.) [D-CA3]","male","RepGaramendi"
"234","FL-21","FL",21,"Rep.","2017-01-03","Democrat","1966-05-07","Theodore","E.","Deutch","Deutch, Theodore (Rep.) [D-FL21]","male","RepTedDeutch"
"235","GA-14","GA",14,"Rep.","2017-01-03","Republican","1970-02-03","Tom","","Graves","Graves, Tom (Rep.) [R-GA14]","male","RepTomGraves"
"236","IN-3","IN",3,"Rep.","2017-01-03","Republican","1976-08-31","Marlin","A.","Stutzman","Stutzman, Marlin (Rep.) [R-IN3]","male","RepStutzman"
"237","NY-23","NY",23,"Rep.","2017-01-03","Republican","1971-11-18","Tom","W.","Reed","Reed, Tom (Rep.) [R-NY23]","male","RepTomReed"
"238","AL-2","AL",2,"Rep.","2017-01-03","Republican","1976-07-27","Martha","","Roby","Roby, Martha (Rep.) [R-AL2]","female","RepMarthaRoby"
"239","AL-5","AL",5,"Rep.","2017-01-03","Republican","1954-04-29","Mo","","Brooks","Brooks, Mo (Rep.) [R-AL5]","male","RepMoBrooks"
"240","AL-7","AL",7,"Rep.","2017-01-03","Democrat","1965-01-01","Terri","A.","Sewell","Sewell, Terri (Rep.) [D-AL7]","female","RepTerriSewell"
"241","AZ-4","AZ",4,"Rep.","2017-01-03","Republican","1958-11-22","Paul","A.","Gosar","Gosar, Paul (Rep.) [R-AZ4]","male","RepGosar"
"242","AZ-6","AZ",6,"Rep.","2017-01-03","Republican","1962-03-03","David","","Schweikert","Schweikert, David (Rep.) [R-AZ6]","male","RepDavid"
"243","AR-1","AR",1,"Rep.","2017-01-03","Republican","1966-01-22","Eric","A.","Crawford","Crawford, Eric “Rick” (Rep.) [R-AR1]","male","RepRickCrawford"
"244","AR-3","AR",3,"Rep.","2017-01-03","Republican","1957-02-18","Steve","","Womack","Womack, Steve (Rep.) [R-AR3]","male","Rep_SteveWomack"
"245","CA-10","CA",10,"Rep.","2017-01-03","Republican","1967-07-29","Jeff","","Denham","Denham, Jeff (Rep.) [R-CA10]","male","RepJeffDenham"
"246","CA-37","CA",37,"Rep.","2017-01-03","Democrat","1953-10-03","Karen","","Bass","Bass, Karen (Rep.) [D-CA37]","female","RepKarenBass"
"247","CO-3","CO",3,"Rep.","2017-01-03","Republican","1956-11-09","Scott","R.","Tipton","Tipton, Scott (Rep.) [R-CO3]","male","RepTipton"
"248","DE-0","DE",0,"Rep.","2017-01-03","Democrat","1956-05-20","John","C.","Carney","Carney, John (Rep.) [D-DE0]","male","JohnCarneyde"
"249","FL-11","FL",11,"Rep.","2017-01-03","Republican","1951-05-26","Richard","B.","Nugent","Nugent, Richard (Rep.) [R-FL11]","male","RepRichNugent"
"250","FL-10","FL",10,"Rep.","2017-01-03","Republican","1949-04-27","Daniel","","Webster","Webster, Daniel (Rep.) [R-FL10]","male","RepWebster"
"251","FL-15","FL",15,"Rep.","2017-01-03","Republican","1959-10-18","Dennis","A.","Ross","Ross, Dennis (Rep.) [R-FL15]","male","RepDennisRoss"
"252","FL-24","FL",24,"Rep.","2017-01-03","Democrat","1942-11-05","Frederica","S.","Wilson","Wilson, Frederica (Rep.) [D-FL24]","female","RepWilson"
"253","GA-7","GA",7,"Rep.","2017-01-03","Republican","1970-02-11","Rob","","Woodall","Woodall, Rob (Rep.) [R-GA7]","male",NA
"254","GA-8","GA",8,"Rep.","2017-01-03","Republican","1969-12-10","Austin","","Scott","Scott, Austin (Rep.) [R-GA8]","male","AustinScottGA08"
"255","ID-1","ID",1,"Rep.","2017-01-03","Republican","1967-12-08","Raúl","R.","Labrador","Labrador, Raúl (Rep.) [R-ID1]","male","Raul_Labrador"
"256","IL-10","IL",10,"Rep.","2017-01-03","Republican","1969-06-23","Bob","","Dold","Dold, Bob (Rep.) [R-IL10]","male",NA
"257","IL-16","IL",16,"Rep.","2017-01-03","Republican","1978-02-27","Adam","","Kinzinger","Kinzinger, Adam (Rep.) [R-IL16]","male","RepKinzinger"
"258","IL-14","IL",14,"Rep.","2017-01-03","Republican","1966-03-01","Randy","","Hultgren","Hultgren, Randy (Rep.) [R-IL14]","male","RepHultgren"
"259","IN-4","IN",4,"Rep.","2017-01-03","Republican","1970-02-09","Todd","","Rokita","Rokita, Todd (Rep.) [R-IN4]","male","ToddRokita"
"260","IN-8","IN",8,"Rep.","2017-01-03","Republican","1962-05-31","Larry","","Bucshon","Bucshon, Larry (Rep.) [R-IN8]","male","RepLarryBucshon"
"261","IN-9","IN",9,"Rep.","2017-01-03","Republican","1972-08-24","Todd","C.","Young","Young, Todd (Rep.) [R-IN9]","male","RepToddYoung"
"262","KS-1","KS",1,"Rep.","2017-01-03","Republican","1968-11-11","Tim","","Huelskamp","Huelskamp, Tim (Rep.) [R-KS1]","male","CongHuelskamp"
"263","KS-3","KS",3,"Rep.","2017-01-03","Republican","1976-01-08","Kevin","","Yoder","Yoder, Kevin (Rep.) [R-KS3]","male","RepKevinYoder"
"264","KS-4","KS",4,"Rep.","2017-01-03","Republican","1963-12-30","Mike","","Pompeo","Pompeo, Mike (Rep.) [R-KS4]","male","RepMikePompeo"
"265","LA-2","LA",2,"Rep.","2017-01-03","Democrat","1973-09-13","Cedric","L.","Richmond","Richmond, Cedric (Rep.) [D-LA2]","male","RepRichmond"
"266","MD-1","MD",1,"Rep.","2017-01-03","Republican","1957-01-25","Andy","","Harris","Harris, Andy (Rep.) [R-MD1]","male","RepAndyHarrisMD"
"267","MA-9","MA",9,"Rep.","2017-01-03","Democrat","1952-09-06","William","R.","Keating","Keating, William (Rep.) [D-MA9]","male","USRepKeating"
"268","MI-1","MI",1,"Rep.","2017-01-03","Republican","1952-04-20","Dan","","Benishek","Benishek, Dan (Rep.) [R-MI1]","male","CongressmanDan"
"269","MI-2","MI",2,"Rep.","2017-01-03","Republican","1969-01-31","Bill","","Huizenga","Huizenga, Bill (Rep.) [R-MI2]","male","RepHuizenga"
"270","MI-3","MI",3,"Rep.","2017-01-03","Republican","1980-04-18","Justin","","Amash","Amash, Justin (Rep.) [R-MI3]","male",NA
"271","MS-4","MS",4,"Rep.","2017-01-03","Republican","1970-02-21","Steven","M.","Palazzo","Palazzo, Steven (Rep.) [R-MS4]","male","CongPalazzo"
"272","MO-4","MO",4,"Rep.","2017-01-03","Republican","1960-10-13","Vicky","","Hartzler","Hartzler, Vicky (Rep.) [R-MO4]","female","RepHartzler"
"273","MO-7","MO",7,"Rep.","2017-01-03","Republican","1955-08-11","Billy","","Long","Long, Billy (Rep.) [R-MO7]","male","USRepLong"
"274","NV-3","NV",3,"Rep.","2017-01-03","Republican","1961-10-30","Joseph","J.","Heck","Heck, Joseph (Rep.) [R-NV3]","male","RepJoeHeck"
"275","NH-1","NH",1,"Rep.","2017-01-03","Republican","1970-09-26","Frank","","Guinta","Guinta, Frank (Rep.) [R-NH1]","male","RepFrankGuinta"
"276","NY-19","NY",19,"Rep.","2017-01-03","Republican","1964-05-13","Christopher","P.","Gibson","Gibson, Christopher (Rep.) [R-NY19]","male","RepChrisGibson"
"277","NY-22","NY",22,"Rep.","2017-01-03","Republican","1951-01-25","Richard","L.","Hanna","Hanna, Richard (Rep.) [R-NY22]","male","RepRichardHanna"
"278","NC-2","NC",2,"Rep.","2017-01-03","Republican","1964-02-09","Renee","L.","Ellmers","Ellmers, Renee (Rep.) [R-NC2]","female","RepReneeEllmers"
"279","OH-6","OH",6,"Rep.","2017-01-03","Republican","1954-11-10","Bill","","Johnson","Johnson, Bill (Rep.) [R-OH6]","male","RepBillJohnson"
"280","OH-15","OH",15,"Rep.","2017-01-03","Republican","1965-03-24","Steve","","Stivers","Stivers, Steve (Rep.) [R-OH15]","male","RepSteveStivers"
"281","OH-16","OH",16,"Rep.","2017-01-03","Republican","1958-12-03","James","B.","Renacci","Renacci, James (Rep.) [R-OH16]","male","RepJimRenacci"
"282","OH-7","OH",7,"Rep.","2017-01-03","Republican","1954-06-14","Bob","","Gibbs","Gibbs, Bob (Rep.) [R-OH7]","male","RepBobGibbs"
"283","PA-3","PA",3,"Rep.","2017-01-03","Republican","1948-05-10","Mike","","Kelly","Kelly, Mike (Rep.) [R-PA3]","male","MikeKellyPA"
"284","PA-7","PA",7,"Rep.","2017-01-03","Republican","1955-10-20","Patrick","","Meehan","Meehan, Patrick (Rep.) [R-PA7]","male","RepMeehan"
"285","PA-10","PA",10,"Rep.","2017-01-03","Republican","1952-08-15","Tom","","Marino","Marino, Tom (Rep.) [R-PA10]","male","RepTomMarino"
"286","PA-11","PA",11,"Rep.","2017-01-03","Republican","1956-01-28","Lou","","Barletta","Barletta, Lou (Rep.) [R-PA11]","male","RepLouBarletta"
"287","RI-1","RI",1,"Rep.","2017-01-03","Democrat","1961-07-15","David","N.","Cicilline","Cicilline, David (Rep.) [D-RI1]","male","RepCicilline"
"288","SC-3","SC",3,"Rep.","2017-01-03","Republican","1966-01-07","Jeff","","Duncan","Duncan, Jeff (Rep.) [R-SC3]","male","RepJeffDuncan"
"289","SC-4","SC",4,"Rep.","2017-01-03","Republican","1964-08-22","Trey","","Gowdy","Gowdy, Trey (Rep.) [R-SC4]","male","TGowdySC"
"290","SC-5","SC",5,"Rep.","2017-01-03","Republican","1967-07-21","Mick","","Mulvaney","Mulvaney, Mick (Rep.) [R-SC5]","male","RepMickMulvaney"
"291","SD-0","SD",0,"Rep.","2017-01-03","Republican","1971-11-30","Kristi","L.","Noem","Noem, Kristi (Rep.) [R-SD0]","female","RepKristiNoem"
"292","TN-3","TN",3,"Rep.","2017-01-03","Republican","1962-10-11","Charles","J.","Fleischmann","Fleischmann, Charles “Chuck” (Rep.) [R-TN3]","male","RepChuck"
"293","TN-4","TN",4,"Rep.","2017-01-03","Republican","1964-02-21","Scott","","DesJarlais","DesJarlais, Scott (Rep.) [R-TN4]","male","DesJarlaisTN04"
"294","TN-6","TN",6,"Rep.","2017-01-03","Republican","1951-01-16","Diane","","Black","Black, Diane (Rep.) [R-TN6]","female","RepDianeBlack"
"295","TN-8","TN",8,"Rep.","2017-01-03","Republican","1973-02-07","Stephen","Lee","Fincher","Fincher, Stephen (Rep.) [R-TN8]","male","RepFincherTN08"
"296","TX-17","TX",17,"Rep.","2017-01-03","Republican","1954-02-25","Bill","","Flores","Flores, Bill (Rep.) [R-TX17]","male","RepBillFlores"
"297","TX-27","TX",27,"Rep.","2017-01-03","Republican","1961-12-12","Blake","","Farenthold","Farenthold, Blake (Rep.) [R-TX27]","male","Farenthold"
"298","VA-2","VA",2,"Rep.","2017-01-03","Republican","1960-05-28","Edward","Scott","Rigell","Rigell, Edward “Scott” (Rep.) [R-VA2]","male","RepScottRigell"
"299","VA-5","VA",5,"Rep.","2017-01-03","Republican","1969-06-16","Robert","","Hurt","Hurt, Robert (Rep.) [R-VA5]","male","RepRobertHurt"
"300","VA-9","VA",9,"Rep.","2017-01-03","Republican","1958-03-15","H.","Morgan","Griffith","Griffith, Morgan (Rep.) [R-VA9]","male","RepMGriffith"
"301","WA-3","WA",3,"Rep.","2017-01-03","Republican","1978-11-03","Jaime","","Herrera Beutler","Herrera Beutler, Jaime (Rep.) [R-WA3]","female","HerreraBeutler"
"302","WV-1","WV",1,"Rep.","2017-01-03","Republican","1947-03-28","David","B.","McKinley","McKinley, David (Rep.) [R-WV1]","male","RepMcKinley"
"303","WI-7","WI",7,"Rep.","2017-01-03","Republican","1971-10-03","Sean","P.","Duffy","Duffy, Sean (Rep.) [R-WI7]","male","RepSeanDuffy"
"304","WI-8","WI",8,"Rep.","2017-01-03","Republican","1956-04-05","Reid","J.","Ribble","Ribble, Reid (Rep.) [R-WI8]","male","RepRibble"
"305","CA-44","CA",44,"Rep.","2017-01-03","Democrat","1952-03-30","Janice","","Hahn","Hahn, Janice (Rep.) [D-CA44]","female","Rep_JaniceHahn"
"306","NV-2","NV",2,"Rep.","2017-01-03","Republican","1958-06-12","Mark","E.","Amodei","Amodei, Mark (Rep.) [R-NV2]","male","MarkAmodeiNV2"
"307","OR-1","OR",1,"Rep.","2017-01-03","Democrat","1954-10-14","Suzanne","","Bonamici","Bonamici, Suzanne (Rep.) [D-OR1]","female","RepBonamici"
"308","KY-4","KY",4,"Rep.","2017-01-03","Republican","1971-01-13","Thomas","","Massie","Massie, Thomas (Rep.) [R-KY4]","male","RepThomasMassie"
"309","WA-1","WA",1,"Rep.","2017-01-03","Democrat","1962-02-17","Suzan","K.","DelBene","DelBene, Suzan (Rep.) [D-WA1]","female","RepDelBene"
"310","NJ-10","NJ",10,"Rep.","2017-01-03","Democrat","1958-12-17","Donald","M.","Payne","Payne, Donald (Rep.) [D-NJ10]","male","RepDonaldPayne"
"311","AZ-9","AZ",9,"Rep.","2017-01-03","Democrat","1976-07-12","Kyrsten","","Sinema","Sinema, Kyrsten (Rep.) [D-AZ9]","female","RepSinema"
"312","CA-1","CA",1,"Rep.","2017-01-03","Republican","1960-07-02","Doug","","LaMalfa","LaMalfa, Doug (Rep.) [R-CA1]","male","RepLaMalfa"
"313","CA-2","CA",2,"Rep.","2017-01-03","Democrat","1964-02-18","Jared","","Huffman","Huffman, Jared (Rep.) [D-CA2]","male","RepHuffman"
"314","CA-7","CA",7,"Rep.","2017-01-03","Democrat","1965-03-02","Ami","","Bera","Bera, Ami (Rep.) [D-CA7]","male","RepBera"
"315","CA-8","CA",8,"Rep.","2017-01-03","Republican","1943-03-03","Paul","","Cook","Cook, Paul (Rep.) [R-CA8]","male","RepPaulCook"
"316","CA-15","CA",15,"Rep.","2017-01-03","Democrat","1980-11-16","Eric","","Swalwell","Swalwell, Eric (Rep.) [D-CA15]","male","RepSwalwell"
"317","CA-21","CA",21,"Rep.","2017-01-03","Republican","1977-04-14","David","G.","Valadao","Valadao, David (Rep.) [R-CA21]","male","RepDavidValadao"
"318","CA-26","CA",26,"Rep.","2017-01-03","Democrat","1952-08-28","Julia","","Brownley","Brownley, Julia (Rep.) [D-CA26]","female","JuliaBrownley26"
"319","CA-29","CA",29,"Rep.","2017-01-03","Democrat","1963-03-31","Tony","","Cárdenas","Cárdenas, Tony (Rep.) [D-CA29]","male","RepCardenas"
"320","CA-36","CA",36,"Rep.","2017-01-03","Democrat","1972-08-25","Raul","","Ruiz","Ruiz, Raul (Rep.) [D-CA36]","male","CongressmanRuiz"
"321","CA-41","CA",41,"Rep.","2017-01-03","Democrat","1960-12-10","Mark","","Takano","Takano, Mark (Rep.) [D-CA41]","male","RepMarkTakano"
"322","CA-47","CA",47,"Rep.","2017-01-03","Democrat","1941-03-08","Alan","S.","Lowenthal","Lowenthal, Alan (Rep.) [D-CA47]","male","RepLowenthal"
"323","CA-51","CA",51,"Rep.","2017-01-03","Democrat","1961-03-07","Juan","","Vargas","Vargas, Juan (Rep.) [D-CA51]","male","RepJuanVargas"
"324","CA-52","CA",52,"Rep.","2017-01-03","Democrat","1958-06-17","Scott","H.","Peters","Peters, Scott (Rep.) [D-CA52]","male","RepScottPeters"
"325","CT-5","CT",5,"Rep.","2017-01-03","Democrat","1959-08-25","Elizabeth","H.","Esty","Esty, Elizabeth (Rep.) [D-CT5]","female","RepEsty"
"326","FL-3","FL",3,"Rep.","2017-01-03","Republican","1955-04-13","Ted","S.","Yoho","Yoho, Ted (Rep.) [R-FL3]","male","RepTedYoho"
"327","FL-6","FL",6,"Rep.","2017-01-03","Republican","1978-09-14","Ron","","DeSantis","DeSantis, Ron (Rep.) [R-FL6]","male","RepDeSantis"
"328","FL-18","FL",18,"Rep.","2017-01-03","Democrat","1983-03-30","Patrick","","Murphy","Murphy, Patrick (Rep.) [D-FL18]","male","RepMurphyFL"
"329","FL-22","FL",22,"Rep.","2017-01-03","Democrat","1948-05-16","Lois","","Frankel","Frankel, Lois (Rep.) [D-FL22]","female","RepLoisFrankel"
"330","GA-9","GA",9,"Rep.","2017-01-03","Republican","1966-08-16","Doug","","Collins","Collins, Doug (Rep.) [R-GA9]","male","RepDougCollins"
"331","HI-2","HI",2,"Rep.","2017-01-03","Democrat","1981-04-12","Tulsi","","Gabbard","Gabbard, Tulsi (Rep.) [D-HI2]","female","TulsiPress"
"332","IL-8","IL",8,"Rep.","2017-01-03","Democrat","1968-03-12","Tammy","","Duckworth","Duckworth, Tammy (Rep.) [D-IL8]","female","RepDuckworth"
"333","IL-13","IL",13,"Rep.","2017-01-03","Republican","1970-01-05","Rodney","","Davis","Davis, Rodney (Rep.) [R-IL13]","male","RodneyDavis"
"334","IL-17","IL",17,"Rep.","2017-01-03","Democrat","1961-10-17","Cheri","","Bustos","Bustos, Cheri (Rep.) [D-IL17]","female","RepCheri"
